Country,Continent,ISO_Code,Level,GDLCODE,Region,"1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr102","North Sumatra",,,21.9,22.9,23.9,24.9,25.9,27.0,28.0,29.0,30.0,31.0,34.1,37.1,40.2,43.2,48.0,52.8,57.6,62.4,67.2,69.3,71.5,73.7,75.8,78.0,80.2,82.3,84.5
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr104","Riau (incl. Riau islands)",,,23.0,25.3,27.7,30.0,32.4,34.7,37.1,39.4,41.8,44.1,50.2,56.2,62.3,68.3,71.4,74.5,77.6,80.7,83.8,85.1,86.4,87.7,88.9,90.2,91.5,92.8,94.1
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr122","South Kalimantan",,,23.8,25.6,27.4,29.2,31.0,32.8,34.6,36.4,38.3,40.1,44.5,49.0,53.5,58.0,61.5,65.0,68.5,72.0,75.5,76.9,78.2,79.5,80.8,82.2,83.5,84.8,86.1
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr126","South Sulawesi (incl Sulawesi Barat)",,,16.9,17.9,18.8,19.8,20.7,21.7,22.6,23.6,24.5,25.5,28.5,31.6,34.7,37.7,42.6,47.6,52.5,57.5,62.4,64.5,66.7,68.8,71.0,73.2,75.3,77.5,79.6
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr106","South Sumatra",,,26.4,25.8,25.2,24.6,24.1,23.5,22.9,22.3,21.8,21.2,27.4,33.6,39.8,46.0,52.3,58.7,65.0,71.4,77.8,78.7,79.6,80.6,81.5,82.5,83.4,84.3,85.3
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr127","Southeast Sulawesi",,,9.69,11.3,12.9,14.4,16.0,17.6,19.2,20.8,22.4,23.9,26.1,28.2,30.3,32.4,38.9,45.3,51.8,58.3,64.7,67.2,69.6,72.1,74.6,77.0,79.5,82.0,84.4
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr111","West Java",,,11.4,12.4,13.3,14.3,15.3,16.2,17.2,18.2,19.1,20.1,24.0,27.9,31.8,35.7,40.5,45.3,50.2,55.0,59.8,62.7,65.6,68.5,71.5,74.4,77.3,80.2,83.1
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr120","West Kalimantan",,,20.4,21.4,22.4,23.4,24.3,25.3,26.3,27.2,28.2,29.2,33.7,38.2,42.6,47.1,51.8,56.6,61.3,66.0,70.7,72.7,74.7,76.7,78.7,80.7,82.7,84.7,86.7
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr117","West Nusa Tenggara",,,9.96,10.3,10.7,11.1,11.5,11.8,12.2,12.6,13.0,13.3,17.5,21.7,25.9,30.0,33.8,37.5,41.2,44.9,48.6,52.0,55.3,58.6,62.0,65.3,68.7,72.0,75.4
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr103","West Sumatra",,,10.6,12.7,14.7,16.8,18.9,21.0,23.1,25.1,27.2,29.3,32.7,36.1,39.5,42.9,49.2,55.5,61.8,68.1,74.4,75.5,76.7,77.8,78.9,80.0,81.2,82.3,83.4
