@Id;Admin Leve;Boundary;Hub Name;Id;Is In Muni;Is In Prov;Is In Town;Name;PT HubName;Type;Area neigh;Density N;Fid;Geometry;Hub Dist;Pop Neigh;PT HubDist
relation/5802271;7;administrative;SCBD;relation/5802271;Cipayung;DKI Jakarta;Jakarta Timur;Cilangkap;Ciracas;boundary;6,04;5746,4294;143;Point;16,932143187;34708;2,537145478
relation/5802272;7;administrative;SCBD;relation/5802272;Senen;DKI Jakarta;Jakarta Pusat;Senen;Atrium;boundary;0,81;10665,0185;144;Point;3,206558098;8639;0,142850936
relation/5802274;7;administrative;SCBD;relation/5802274;Kalideres;DKI Jakarta;Jakarta Barat;Kalideres;Kalideres;boundary;5,71;15892,829;145;Point;15,565531775;90748;1,205541908
relation/5802275;7;administrative;SCBD;relation/5802275;Kebayoran Baru;DKI Jakarta;Jakarta Selatan;Selong;Tirtayasa;boundary;1,4;2365;146;Point;4,354082715;3311;0,556919627
relation/5802276;7;administrative;SCBD;relation/5802276;Mampang Prapatan;DKI Jakarta;Jakarta Selatan;Kuningan Barat;Balai Kartini;boundary;0,98;16228,0164;147;Point;3,712067385;15903;0,071322909
relation/5802278;7;administrative;SCBD;relation/5802278;Jatinegara;DKI Jakarta;Jakarta Timur;Cipinang Besar Selatan;Cipinang Kebon Nanas;boundary;1,63;27229,8419;148;Point;6,457014728;44385;0,616774223
relation/5802279;7;administrative;SCBD;relation/5802279;Palmerah;DKI Jakarta;Jakarta Barat;Kemanggisan;;boundary;2,11;18683,5503;149;Point;4,417848638;39422;1,007925902
relation/5802280;7;administrative;SCBD;relation/5802280;Pademangan;DKI Jakarta;Jakarta Utara;Pademangan Timur;SMP 140;boundary;2,61;17586,5105;150;Point;7,049739121;45901;1,053147582
relation/5802281;7;administrative;SCBD;relation/5802281;Cipayung;DKI Jakarta;Jakarta Timur;Taman Mini Indonesia Indah (TMII);Kereta Api Mini;boundary;;;151;Point;13,210212051;;0,198788825
relation/5802282;7;administrative;SCBD;relation/5802282;Taman Sari;DKI Jakarta;Jakarta Barat;Taman Sari;Mangga Besar;boundary;0,68;25497,6373;152;Point;5,485222669;17338;0,560982495
relation/5802283;7;administrative;SCBD;relation/5802283;Matraman;DKI Jakarta;Jakarta Timur;Utan Kayu Utara;Pramuka LIA;boundary;1,07;32539,1062;153;Point;4,444594540;34817;0,453488405
relation/5802284;7;administrative;SCBD;relation/5802284;Pancoran;DKI Jakarta;Jakarta Selatan;Cikoko;Cikoko;boundary;0,72;18288,4642;154;Point;5,417009401;13168;0,321502150
relation/5802285;7;administrative;SCBD;relation/5802285;Gambir;DKI Jakarta;Jakarta Pusat;Petojo Selatan;;boundary;1,14;16585,3873;155;Point;3,412568304;18907;0,430934293
relation/5802286;7;administrative;SCBD;relation/5802286;Koja;DKI Jakarta;Jakarta Utara;Rawabadak Utara;halte walikota jakarta utara;boundary;;;156;Point;12,007448652;;0,577861768
relation/5802287;7;administrative;SCBD;relation/5802287;Tambora;DKI Jakarta;Jakarta Barat;Duri Selatan;;boundary;0,34;50941,691;157;Point;5,540582241;17320;0,375286195
relation/5802288;7;administrative;SCBD;relation/5802288;Penjaringan;DKI Jakarta;Jakarta Utara;Pluit;Halte Busway Baywalk Mall 1;boundary;7,71;7469,1062;158;Point;10,940612909;57587;0,740909621
relation/5802289;7;administrative;SCBD;relation/5802289;Pulo Gadung;DKI Jakarta;Jakarta Timur;Pisangan Timur;Imigrasi Jakarta Timur;boundary;1,79;28348,3065;159;Point;5,724587348;50743;0,692009277
relation/5802290;7;administrative;SCBD;relation/5802290;Tanah Abang;DKI Jakarta;Jakarta Pusat;Kebon Melati;;boundary;1,26;33113,1099;160;Point;1,555502334;41723;0,232584633
