Country,Continent,ISO_Code,Level,GDLCODE,Region,"1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr102","North Sumatra",,,4.40,11.2,18.1,24.9,31.7,38.6,45.4,52.2,59.0,65.9,66.4,67.0,67.5,68.1,70.8,73.5,76.3,79.0,81.8,82.5,83.3,84.1,84.9,85.7,86.5,87.3,88.0
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr104","Riau (incl. Riau islands)",,,0.01,7.65,15.3,22.9,30.6,38.3,45.9,53.6,61.3,68.9,70.4,71.9,73.3,74.8,77.3,79.9,82.5,85.0,87.6,88.6,89.5,90.5,91.5,92.5,93.5,94.5,95.5
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr122","South Kalimantan",,,5.57,12.1,18.5,25.0,31.5,38.0,44.5,51.0,57.4,63.9,66.2,68.5,70.8,73.1,75.2,77.3,79.4,81.5,83.6,84.6,85.7,86.7,87.8,88.8,89.9,90.9,92.0
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr126","South Sulawesi (incl Sulawesi Barat)",,,0.01,3.95,7.89,11.8,18.7,25.6,32.4,39.3,46.2,53.0,54.6,56.2,57.8,59.4,63.1,66.7,70.4,74.1,77.8,79.1,80.4,81.7,83.1,84.4,85.7,87.0,88.4
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr106","South Sumatra",,,7.65,13.0,18.4,23.8,29.1,34.5,39.9,45.2,50.6,56.0,58.7,61.5,64.3,67.1,70.2,73.4,76.6,79.8,83.0,84.6,86.3,87.9,89.6,91.2,92.9,94.5,96.2
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr127","Southeast Sulawesi",,,0.01,3.11,6.22,9.32,13.0,16.8,20.5,24.2,27.9,31.6,36.0,40.4,44.8,49.2,53.5,57.9,62.3,66.6,71.0,72.4,73.9,75.3,76.7,78.2,79.6,81.0,82.4
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr111","West Java",,,0.01,6.20,12.4,18.6,26.6,34.6,42.7,50.7,58.7,66.7,69.2,71.6,74.0,76.5,78.9,81.4,83.9,86.4,88.9,89.6,90.3,90.9,91.6,92.3,93.0,93.7,94.4
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr120","West Kalimantan",,,9.94,14.2,18.5,22.7,27.0,31.2,35.5,39.8,44.0,48.3,51.4,54.6,57.8,60.9,64.5,68.0,71.6,75.1,78.6,79.4,80.1,80.9,81.6,82.3,83.1,83.8,84.6
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr117","West Nusa Tenggara",,,7.18,9.42,11.7,13.9,16.1,18.4,20.6,22.9,25.1,27.3,33.4,39.4,45.4,51.4,53.9,56.4,58.9,61.5,64.0,67.1,70.2,73.3,76.4,79.5,82.6,85.7,88.8
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr103","West Sumatra",,,0.01,6.28,12.6,18.8,26.4,34.0,41.6,49.2,56.8,64.4,63.5,62.6,61.8,60.9,65.7,70.5,75.3,80.1,84.9,85.7,86.4,87.1,87.8,88.5,89.2,90.0,90.7
